location_1,location_2,business_closed,business_closed_date,business_closed_url,business_open,business_open_date,business_open_url,school_closed,school_closed_date,school_closed_url,school_open,school_open_date,school_open_url,college_closed,college_closed_date,college_closed_url,college_open,college_open_date,college_open_url,religion_closed,religion_closed_date,religion_closed_url,religion_open,religion_open_date,religion_open_url,lockdown_closed,lockdown_closed_date,lockdown_closed_url,lockdown_open,lockdown_open_date,lockdown_open_url,fips,fips.1,fips.1.1,fips
California,Santa Clara County,Yes,2020-03-17,https://www.sfchronicle.com/bayarea/article/Bay-Area-coronavirus-decision-Behind-the-scenes-15148425.php,No,,,Yes,2020-03-16,https://www.nbcbayarea.com/news/local/oakland-school-closes-over-potential-coronavirus-exposure/2248347/,No,,,Yes,2020-03-09,https://paloaltoonline.com/news/2020/03/06/stanford-cancels-in-person-classes-two-students-possibly-exposed-to-coronavirus-in-self-isolation,No,,,Yes,2020-03-11,https://www.nbcbayarea.com/news/coronavirus/santa-clara-county-bans-mass-gatherings-after-coronavirus-death/2251123/,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,06085,06085,06085,06085
California,Santa Cruz County,Yes,2020-03-17,https://www.santacruzhealth.org/Portals/7/Pdfs/Coronavirus/Shelter%20in%20Place%20Order%20March%2016%202020.pdf,No,,,Yes,2020-03-11,https://news.ucsc.edu/2020/03/urgent-ucsc-suspending-in-person-classes-in-response-to-covid19.html,No,,,Yes,2020-03-16,http://www.santacruzhealth.org/Portals/7/Pdfs/Coronavirus/3-13-20%20Interim%20Social%20Distancing%20Guidance%20.pdf,No,,,Yes,2020-03-17,https://www.santacruzhealth.org/Portals/7/Pdfs/Coronavirus/Shelter%20in%20Place%20Order%20March%2016%202020.pdf,No,,,Yes,2020-03-17,https://www.santacruzhealth.org/Portals/7/Pdfs/Coronavirus/Shelter%20in%20Place%20Order%20March%2016%202020.pdf,No,,,06087,06087,06087,06087
California,Shasta County,Yes,2020-03-12,https://www.redding.com/story/news/2020/03/15/california-gavin-newsom-calls-closure-all-bars-wineries-coronavirus-covid-19/5055685002/,No,,,Yes,2020-03-16,https://www.redding.com/story/news/2020/03/16/coronavirus-shasta-county-redding-school-closures/5056853002/,No,,,Yes,2020-03-13,https://www.redding.com/story/news/local/2020/03/13/coronavirus-update-modoc-county-declares-local-emergency-california/5041627002/,No,,,Yes,2020-03-12,https://www.redding.com/story/news/local/2020/03/12/coronavirus-bethel-redding-cancel-in-person-services-mission-trips/5037232002/,No,,,Yes,2020-03-19,https://krcrtv.com/news/local/ca-governor-gavin-newsom-declares-statewide-shelter-in-place-order-explained,No,,,06089,06089,06089,06089
California,Solano County,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-16,https://www.kcra.com/article/solano-county-schools-to-close-for-2-weeks-due-to-coronavirus-concerns/31493604,No,,,Yes,2020-03-16,https://www.davisenterprise.com/local-news/uc-davis-suspends-campus-operations/,No,,,Yes,2020-03-22,https://www.facebook.com/SolanoValleyChurch/,No,,,Yes,2020-03-19,https://www.kqed.org/science/1959566/california-gov-gavin-newsom-orders-state-to-shelter-in-place,No,,,06095,06095,06095,06095
California,Sonoma County,Yes,2020-03-18,http://sonomacounty.ca.gov/CAO/Press-Releases/Health-Officer-Orders-County-Residents-Shelter-in-Place/,No,,,Yes,2020-03-14,https://www.scoe.org/files/03_14_20_Press_Release_-_Temporary_suspension_of_Sonoma_County_Schools.pdf,No,,,Yes,2020-03-12,https://www.pressdemocrat.com/news/10814765-181/sonoma-state-university-suspends-face-to-face,No,,,Yes,2020-03-12,https://www.pressdemocrat.com/news/10814765-181/sonoma-state-university-suspends-face-to-face,No,,,Yes,2020-03-12,http://sonomacounty.ca.gov/CAO/Press-Releases/Health-Officer-Orders-County-Residents-Shelter-in-Place/,No,,,06097,06097,06097,06097
Colorado,Adams County,Yes,2020-03-26,https://www.cpr.org/2020/03/25/polis-announces-statewide-stay-at-home-order/,No,,,Yes,2020-03-13,https://chalkbeat.org/posts/co/2020/03/12/colorado-coronavirus-school-closures/,No,,,Yes,2020-03-14,https://www.cpr.org/2020/03/11/cu-boulder-cancels-in-person-classes-for-remainder-of-semester/,No,,,Yes,2020-03-17,https://www.facebook.com/adventwestminsterco/videos/1013753682358766/,No,,,Yes,2020-03-26,https://www.colorado.gov/governor/news/gov-polis-announces-statewide-stay-home-order-provides-update-colorado-response-covid-19,No,,,08001,08001,08001,08001
Colorado,Arapahoe County,Yes,2020-03-26,https://www.arapahoegov.com/covid19,No,,,Yes,2020-03-21,https://www.denverpost.com/2020/03/18/colorado-schools-closed-coronavirus-2/,No,,,Yes,2020-03-14,https://www.cpr.org/2020/03/11/cu-boulder-cancels-in-person-classes-for-remainder-of-semester/,No,,,Yes,2020-03-13,https://www.9news.com/mobile/article/news/health/coronavirus/colorado-churches-mosques-cancel-services-due-to-covid-19/73-c25f67fd-f28c-4f8b-81c1-bbaf1e36d48b,No,,,Yes,2020-03-26,https://www.colorado.gov/governor/news/gov-polis-announces-statewide-stay-home-order-provides-update-colorado-response-covid-19,No,,,08005,08005,08005,08005
Colorado,Boulder County,Yes,2020-03-26,https://www.bouldercounty.org/news/three-metro-denver-public-health-departments-rescind-stay-at-home-orders-after-state-order-implemented/,No,,,Yes,2020-03-13,https://www.bvsd.org/about/news/news-article/~board/district-news/post/all-field-trips-and-non-essential-activities-canceled-1584060348042,No,,,Yes,2020-03-11,https://www.cpr.org/2020/03/11/cu-boulder-cancels-in-person-classes-for-remainder-of-semester/,No,,,Yes,2020-03-15,https://www.instagram.com/p/B9u9bhmBaUU/,No,,,Yes,2020-04-02,https://drive.google.com/file/d/1hSyVD4wlb6evhqqrbEgypcgKMr6i8SOX/view,No,,,08013,08013,08013,08013
Colorado,Denver County,Yes,2020-03-26,https://www.larimer.org/sites/default/files/uploads/2020/sixth-public-health-order-stay-at-home.pdf,No,,,Yes,2020-03-11,https://www.denverpost.com/2020/03/11/colorado-schools-closed-coronavirus/,No,,,Yes,2020-03-13,https://www.denverpost.com/2020/03/11/colorado-schools-closed-coronavirus/,No,,,Yes,2020-03-15,https://www.cpr.org/2020/03/13/colorado-coronavirus-churches-temples-faith-cancel-services/,No,,,Yes,2020-03-26,https://www.larimer.org/sites/default/files/uploads/2020/sixth-public-health-order-stay-at-home.pdf,No,,,08031,08031,08031,08031
Colorado,Larimer County,Yes,2020-03-26,https://www.larimer.org/sites/default/files/uploads/2020/sixth-public-health-order-stay-at-home.pdf,No,,,Yes,2020-03-23,https://www.colorado.gov/governor/news/colorado-takes-further-action-address-public-health-threat-covid-19,No,,,Yes,2020-03-23,https://president.colostate.edu/message-on-covid19/,No,,,Yes,2020-03-19,https://drive.google.com/file/d/1HUzC0UCDruFZF4JxedwMMgo-r-_fWF66/view,No,,,Yes,2020-03-26,https://www.larimer.org/sites/default/files/uploads/2020/sixth-public-health-order-stay-at-home.pdf,No,,,08069,08069,08069,08069
